Trial time;Recording time;X center;Y center;Area;Areachange;Elongation;Velocity;Result 1
11,53;11,53;0,0905054;0,0830929;0,00256706;0,00120692;0,798201;0,323777;1
11,57;11,57;0,0905054;0,0830929;0,00256706;0;0,798201;0;1
11,61;11,61;0,0960538;0,0948121;0,00260081;0,000847811;0,826417;0,323864;1
11,65;11,65;0,0960538;0,0948121;0,00260081;0;0,826417;0;1
11,69;11,69;0,100578;0,104163;0,00252251;0,000694584;0,790275;0,259454;1
11,73;11,73;0,100578;0,104163;0,00252251;0;0,790275;0;1
11,77;11,77;0,100578;0,104163;0,00252251;0;0,790275;0;1
11,81;11,81;0,10336;0,115331;0,00233283;0,000610883;0,719193;0,287498;1
11,851;11,851;0,10336;0,115331;0,00233283;0;0,719193;0;1
11,891;11,891;0,10336;0,115331;0,00233283;0;0,719193;0;1
11,931;11,931;0,101618;0,125696;0,00251238;0,00039488;0,78667;0,262521;1
11,971;11,971;0,101618;0,125696;0,00251238;0;0,78667;0;1
12,011;12,011;0,101618;0,125696;0,00251238;0;0,78667;0;1
12,051;12,051;0,0946289;0,137143;0,00251103;0,00100576;0,798771;0,335007;1
12,091;12,091;0,0946289;0,137143;0,00251103;0;0,798771;0;1
12,131;12,131;0,0886286;0,145157;0,00251373;0,00109149;0,787536;0,250055;1
12,171;12,171;0,0886286;0,145157;0,00251373;0;0,787536;0;1
12,211;12,211;0,0812873;0,152156;0,00241316;0,000716184;0,768929;0,253348;1
12,251;12,251;0,0812873;0,152156;0,00241316;0;0,768929;0;1
12,291;12,291;0,0716884;0,157381;0,00237941;0,000841061;0,73935;0,272985;1
12,331;12,331;0,0716884;0,157381;0,00237941;0;0,73935;0;1
12,371;12,371;0,0610745;0,159961;0,00239021;0,000828236;0,712301;0,272835;1
12,411;12,411;0,0610745;0,159961;0,00239021;0;0,712301;0;1
12,451;12,451;0,050171;0,159494;0,00236658;0,000753985;0,749568;0,272597;1
12,491;12,491;0,050171;0,159494;0,00236658;0;0,749568;0;1
12,531;12,531;0,0377141;0,157964;0,00247661;0,00105841;0,815909;0,31349;1
12,571;12,571;0,0377141;0,157964;0,00247661;0;0,815909;0;1
12,611;12,611;0,0245816;0,156921;0,00246918;0,000951763;0,805332;0,32906;1
12,651;12,651;0,0245816;0,156921;0,00246918;0;0,805332;0;1
12,691;12,691;0,0116113;0,157076;0,00244826;0,000600083;0,801635;0,323998;1
12,731;12,731;0,0116113;0,157076;0,00244826;0;0,801635;0;1
12,771;12,771;-0,00202402;0,158297;0,00249618;0,00100914;0,802942;0,341948;1
12,811;12,811;-0,00202402;0,158297;0,00249618;0;0,802942;0;1
12,851;12,851;-0,0168371;0,161611;0,00256031;0,000950413;0,826649;0,37915;1
12,891;12,891;-0,0168371;0,161611;0,00256031;0;0,826649;0;1
12,931;12,931;-0,0327909;0,166565;0,00251441;0,000974713;0,824555;0,417265;1
12,972;12,972;-0,0327909;0,166565;0,00251441;0;0,824555;0;1
13,012;13,012;-0,0501771;0,172239;0,00244961;0,000913962;0,836208;0,456817;1
